TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;73,59;0,650000;8,72;101,51;0,73;68.570,73;1,63;8,43;-0,68;478.010.469,38;17.205,00;Passiva;4.709.082,00
AFHI11;98,04;1,000000;12,93;96,03;1,02;907.438,00;4,79;;;321.041.569,91;27.831,00;Ativa;3.343.095,00
AIEC11;55,46;1,330000;16,52;83,15;0,67;792.504,00;3,08;8,80;-14,98;401.216.234,32;16.789,00;Ativa;4.824.987,00
ALMI11;660,00;0,371133;0,00;2.154,48;0,31;104.363,11;3,21;;-20,27;239.528.331,03;2.239,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;8,71;0,108860;11,89;8,52;1,02;256.935,27;7,80;;;129.280.035,30;5.674,00;Ativa;15.180.540,00
ALZR11;119,60;0,825000;8,20;105,39;1,13;1.534.635,93;20,14;10,04;-2,06;1.039.173.322,38;149.502,00;Ativa;9.860.406,00
ANCR11B;3.221,00;42,077240;1,96;4.068,56;0,79;4.762,67;1,35;;1,06;1.933.854.842,07;62,00;Ativa;475.316,00
APTO11;9,79;0,090000;12,37;10,33;0,94;35.713,93;5,97;;;41.467.547,86;9.877,00;Ativa;4.012.857,00
APXM11;100,00;0,600597;1,97;95,86;1,04;840.048,50;15,08;;;168.710.781,90;377,00;;1.760.000,00
AQLL11;385,03;;0,00;975,20;0,39;;0,04;;-0,43;142.201.961,38;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;1,27;0,005900;3,47;1,08;1,18;72.100,26;1,16;;;181.093.979,93;205,00;Ativa;167.926.832,00
ARRI11;8,93;0,100000;13,74;8,99;1,00;238.137,80;1,51;-6,17;-0,99;117.352.872,73;27.526,00;Ativa;13.056.237,00
ARXD11;98,36;1,000000;10,27;99,47;0,99;26.415,43;3,03;;;65.143.993,05;561,00;Ativa;654.895,00
ASMT11;56,25;0,770000;1,35;90,74;0,63;19.756,87;0,52;;;92.314.766,75;505,00;Ativa;1.017.316,00
ASRF11;10.092,00;256,328699;2,54;9.992,28;1,01;30.276,00;3,74;;;23.981.483,49;56,00;Ativa;2.400,00
ATCR11;0,00;5,601011;0,00;82,59;;;7,67;;;76.717.810,00;33,00;Ativa;928.908,00
ATSA11;56,28;0,050000;0,18;75,88;0,74;2.171,77;1,02;1,98;-18,77;132.872.243,02;294,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;1.322,10;;;0,21;;;212.537.041,52;2,00;Passiva;160.757,00
AURB11;85,16;0,200000;5,64;81,84;1,04;1.787.424,43;1,06;;;72.068.378,89;115,00;Ativa;880.560,00
BARI11;83,76;0,690000;11,17;96,19;0,87;705.595,07;8,63;-14,53;-9,10;445.772.913,09;36.705,00;Ativa;4.634.191,00
BBFI11B;1.178,82;7,433438;13,70;2.049,79;0,58;264.630,50;8,52;-21,71;-17,90;266.472.708,73;7.491,00;Passiva;130.000,00
BBFO11;73,75;0,640000;10,98;83,19;0,89;606.871,07;0,36;6,74;-9,01;333.079.626,89;6.001,00;Passiva;4.003.900,00
BBIM11;0,00;0,650000;0,00;12,49;;;9,56;-28,93;;12.923.477,03;20,00;Ativa;1.035.000,00
BBRC11;114,68;1,130000;11,30;102,54;1,12;136.713,57;5,50;6,50;-2,88;163.032.955,29;9.491,00;Passiva;1.590.000,00
BCFF11;9,18;0,070000;9,15;9,87;0,93;3.491.818,50;3,20;3,04;-7,79;1.988.049.069,24;315.407,00;Ativa;201.491.024,00
BCIA11;105,24;0,850000;9,28;110,62;0,95;602.380,20;0,19;8,28;-2,39;411.393.419,43;20.827,00;Ativa;3.719.038,00
BCRI11;75,60;0,780000;12,43;96,77;0,78;685.550,80;6,56;-13,30;-13,59;605.562.770,40;46.771,00;Ativa;6.257.873,00
BICE11;900,01;6,640000;12,66;998,10;0,90;2.506,33;18,38;;;90.138.444,99;111,00;Ativa;90.310,00
BICR11;70,00;0,500000;10,90;44,43;1,58;3.303,10;29,02;32,99;-11,21;22.215.276,65;613,00;Ativa;500.000,00
BIME11;7,32;0,080000;13,51;8,76;0,84;92.557,00;3,87;;;51.228.617,48;8.703,00;Ativa;5.845.602,00
BIPD11;988,71;10,380000;1,05;989,21;1,00;155.227,00;15,27;;;73.531.927,39;116,00;Ativa;74.334,00
BLCA11;120,00;12,600000;15,64;185,99;0,65;12.913,04;5,38;;;297.591.817,41;324,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;111,74;0,81;;1,06;;-3,89;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;84,72;0,640000;11,25;95,78;0,88;110.287,27;22,98;;;38.266.013,20;65,00;Ativa;399.500,00
BLMG11;40,15;0,440000;19,80;84,37;0,48;892.817,47;0,33;;;321.501.534,85;13.595,00;Ativa;3.810.588,00
BLMO11;90,00;0,430000;1.077,14;104,54;0,86;217.169,75;2,80;;;103.994.186,22;86,00;Ativa;994.814,00
BLMR11;6,75;0,053000;8,89;7,62;0,89;493.294,13;13,40;;;194.622.510,70;19.572,00;Ativa;25.541.630,00
BLUR11;88,99;0,680000;12,70;90,27;0,99;2.038,29;3,32;;;8.124.404,45;131,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;468,20;;;1,01;;;67.888.647,68;12,00;Passiva;145.000,00
