TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,75;;-3,93;1,02;0,38;30,10;1,60;-22,81;55,95;96,91;40,90;0,75;0,90;-4,63;-0,49;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;1.649.187,70;8,58;-2,22;-0,04;1.036.245.068,16
ABCB4;23,42;6,73;5,72;0,97;0,10;25,50;17,06;15,50;5,20;5,24;;;0,89;-2,71;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;14.577.284,93;24,15;4,09;-0,31;5.594.061.226,56
ABEV3;13,43;5,44;14,03;2,34;1,53;50,30;22,59;18,29;11,36;10,59;-0,75;-0,15;2,57;57,08;-2,11;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;288.037.799,63;5,73;0,96;0,93;211.101.366.005,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,84;;-9,54;1,28;0,27;12,62;9,03;-3,39;3,58;7,09;3,51;1,26;0,32;1,27;-0,84;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;6.196.003,63;0,66;-0,09;-0,05;1.043.619.303,72
AESB3;11,45;;43,68;1,54;0,35;35,54;28,78;4,90;7,44;17,53;9,96;2,06;2,14;21,10;-0,42;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;23.091.091,97;7,43;0,26;-0,64;7.018.472.446,26
AFLT3;7,87;3,34;16,20;1,90;1,59;57,31;45,58;44,72;15,90;15,52;-0,38;-0,05;7,25;16,27;-1,98;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;5.918,06;4,15;0,49;-0,22;496.476.589,00
AGRO3;24,96;12,87;9,99;1,17;0,73;30,65;20,17;20,86;10,33;12,17;1,85;0,21;2,08;3,57;-1,19;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;8.929.389,57;21,40;2,50;-0,23;2.558.871.424,48
AGXY3;2,96;1,34;-2,01;0,49;0,06;12,31;3,90;-2,43;1,25;3,85;2,59;1,03;0,05;2,21;-0,30;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;504.394,10;6,00;-1,48;-0,01;510.766.717,11
AHEB3;15,50;;1,36;7,93;0,36;33,84;21,93;17,66;1,10;1,08;-0,02;-0,17;0,24;2,31;-0,63;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;4.721,33;1,95;11,39;0,00;132.637.102,84
AHEB5;16,59;;1,46;8,49;0,38;33,84;21,93;17,66;1,17;1,08;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.659,00;1,95;11,39;0,00;132.637.102,84
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,08;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;132.637.102,84
ALLD3;7,37;6,55;9,03;0,44;0,20;12,55;3,39;1,31;3,50;4,79;1,28;0,16;0,12;0,68;-0,65;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;420.104,67;16,66;0,82;2,95;688.900.100,98
ALOS3;24,95;2,08;4,57;0,97;0,51;96,37;264,05;140,12;2,42;2,16;-0,28;-0,11;6,40;13,96;-0,57;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;103.893.196,57;25,62;5,46;0,00;14.388.598.308,63
ALPA3;9,35;;-22,68;1,18;0,81;40,37;-9,97;-7,36;-16,73;-18,38;-2,17;0,15;1,67;2,87;-1,33;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;44.293,07;7,89;-0,41;0,14;6.190.807.401,89
ALPA4;8,73;;-21,18;1,11;0,75;40,37;-9,97;-7,36;-15,62;-18,38;-2,17;0,15;1,56;2,68;-1,24;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;37.532.253,17;7,89;-0,41;0,13;6.190.807.401,89
ALPK3;4,72;;-9,46;2,69;0,40;29,90;10,81;-8,39;7,34;15,99;8,65;3,17;0,79;-3,42;-0,46;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;1.039.196,97;1,75;-0,50;0,27;1.024.353.398,00
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;29,90;6,02;12,24;1,21;0,32;75,83;71,87;23,53;4,01;7,94;3,91;1,18;2,88;3,59;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;16.917.425,40;24,75;2,44;-0,58;9.148.852.211,36
ALUP3;10,00;6,00;12,28;1,21;0,32;75,83;71,87;23,53;4,02;7,94;3,91;1,18;2,89;3,60;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;104.786,47;8,25;0,81;-0,58;9.148.852.211,36
ALUP4;10,00;6,00;12,28;1,21;0,32;75,83;71,87;23,53;4,02;7,94;3,91;1,18;2,89;3,60;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;197.527,73;8,25;0,81;-0,58;9.148.852.211,36
